District ID,District Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
152,Waterford School District,2003-04,16,3038,0.5
153,Watertown School District,2003-04,45,3526,1.3
155,West Hartford School District,2003-04,556,9781,5.7
156,West Haven School District,2003-04,349,7108,4.9
154,Westbrook School District,2003-04,1,1043,0.1
157,Weston School District,2003-04,10,2451,0.4
158,Westport School District,2003-04,87,5224,1.7
159,Wethersfield School District,2003-04,193,3673,5.3
160,Willington School District,2003-04,3,595,0.5
161,Wilton School District,2003-04,17,4227,0.4
162,Winchester School District,2003-04,46,1115,4.1
163,Windham School District,2003-04,478,3358,14.2
165,Windsor Locks School District,2003-04,43,1917,2.2
164,Windsor School District,2003-04,65,4410,1.5
166,Wolcott School District,2003-04,6,2916,0.2
167,Woodbridge School District,2003-04,12,898,1.3
2,Ansonia School District,2002-03,77,2560,3
244,Area Cooperative Educational Services,2002-03,25,1455,1.7
3,Ashford School District,2002-03,2,573,0.3
4,Avon School District,2002-03,13,3126,0.4
7,Berlin School District,2002-03,59,3265,1.8
9,Bethel School District,2002-03,104,3219,3.2
11,Bloomfield School District,2002-03,4,2532,0.2
13,Bozrah School District,2002-03,1,273,0.4
14,Branford School District,2002-03,72,3640,2
15,Bridgeport School District,2002-03,2589,22309,11.6
17,Bristol School District,2002-03,215,8968,2.4
18,Brookfield School District,2002-03,8,3021,0.3
23,Canton School District,2002-03,2,1629,0.1
241,Capitol Region Education Council,2002-03,6,1834,0.3
25,Cheshire School District,2002-03,21,5107,0.4
