District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
131,Southington School District,2004-05,All,227,66
133,Sprague School District,2004-05,All,7,4
134,Stafford School District,2004-05,All,30,15
135,Stamford School District,2004-05,All,5212,2264
137,Stonington School District,2004-05,All,9,9
138,Stratford School District,2004-05,All,455,203
139,Suffield School District,2004-05,All,47,5
269,The Bridge Academy District,2004-05,All,58,5
902,The Gilbert School,2004-05,All,42,10
140,Thomaston School District,2004-05,All,27,4
142,Tolland School District,2004-05,All,29,23
143,Torrington School District,2004-05,All,406,203
144,Trumbull School District,2004-05,All,254,66
146,Vernon School District,2004-05,All,214,94
148,Wallingford School District,2004-05,All,465,233
151,Waterbury School District,2004-05,All,2342,1958
152,Waterford School District,2004-05,All,158,17
153,Watertown School District,2004-05,All,140,65
155,West Hartford School District,2004-05,All,1602,602
156,West Haven School District,2004-05,All,1002,399
154,Westbrook School District,2004-05,All,16,9
157,Weston School District,2004-05,All,22,14
158,Westport School District,2004-05,All,159,81
159,Wethersfield School District,2004-05,All,222,175
160,Willington School District,2004-05,All,19,3
161,Wilton School District,2004-05,All,112,19
162,Winchester School District,2004-05,All,53,36
163,Windham School District,2004-05,All,892,510
165,Windsor Locks School District,2004-05,All,100,39
164,Windsor School District,2004-05,All,166,93
166,Wolcott School District,2004-05,All,17,6
167,Woodbridge School District,2004-05,All,53,16
169,Woodstock School District,2004-05,All,24,8
2,Ansonia School District,2003-04,All,252,97
244,Area Cooperative Educational Services,2003-04,All,105,23
3,Ashford School District,2003-04,All,7,2
4,Avon School District,2003-04,All,102,37
7,Berlin School District,2003-04,All,217,101
9,Bethel School District,2003-04,All,250,106
11,Bloomfield School District,2003-04,All,38,2
14,Branford School District,2003-04,All,178,76
15,Bridgeport School District,2003-04,All,8280,2796
17,Bristol School District,2003-04,All,647,225
18,Brookfield School District,2003-04,All,52,6
23,Canton School District,2003-04,All,15,8
241,Capitol Region Education Council,2003-04,All,52,30
25,Cheshire School District,2003-04,All,209,30
27,Clinton School District,2003-04,All,50,22
28,Colchester School District,2003-04,All,52,16
900,Connecticut Technical High School System,2003-04,All,1534,828
33,Cromwell School District,2003-04,All,116,70
34,Danbury School District,2003-04,All,3322,1067
35,Darien School District,2003-04,All,86,37
36,Deep River School District,2003-04,All,17,3
37,Derby School District,2003-04,All,224,115
41,East Haddam School District,2003-04,All,14,8
42,East Hampton School District,2003-04,All,29,4
43,East Hartford School District,2003-04,All,1294,325
44,East Haven School District,2003-04,All,269,94
45,East Lyme School District,2003-04,All,112,23
47,East Windsor School District,2003-04,All,87,42
46,Easton School District,2003-04,All,18,3
48,Ellington School District,2003-04,All,37,23
49,Enfield School District,2003-04,All,158,64
50,Essex School District,2003-04,All,10,7
51,Fairfield School District,2003-04,All,522,117
52,Farmington School District,2003-04,All,314,45
53,Franklin School District,2003-04,All,**,**
54,Glastonbury School District,2003-04,All,392,158
56,Granby School District,2003-04,All,37,5
57,Greenwich School District,2003-04,All,1497,618
58,Griswold School District,2003-04,All,36,10
59,Groton School District,2003-04,All,228,109
60,Guilford School District,2003-04,All,108,31
62,Hamden School District,2003-04,All,70,29
64,Hartford School District,2003-04,All,11092,3682
65,Hartland School District,2003-04,All,**,**
265,Interdistrict School for Arts and Comm District,2003-04,All,**,**
69,Killingly School District,2003-04,All,142,90
245,Learn,2003-04,All,57,56
71,Lebanon School District,2003-04,All,12,4
72,Ledyard School District,2003-04,All,54,21
73,Lisbon School District,2003-04,All,**,**
76,Madison School District,2003-04,All,57,9
77,Manchester School District,2003-04,All,831,193
78,Mansfield School District,2003-04,All,130,21
79,Marlborough School District,2003-04,All,12,1
80,Meriden School District,2003-04,All,2281,607
83,Middletown School District,2003-04,All,176,105
84,Milford School District,2003-04,All,391,139
85,Monroe School District,2003-04,All,148,25
86,Montville School District,2003-04,All,93,63
88,Naugatuck School District,2003-04,All,593,182
89,New Britain School District,2003-04,All,4186,1363
90,New Canaan School District,2003-04,All,116,22
93,New Haven School District,2003-04,All,5610,1997
95,New London School District,2003-04,All,737,629
96,New Milford School District,2003-04,All,221,116
94,Newington School District,2003-04,All,363,121
99,North Branford School District,2003-04,All,48,16
100,North Canaan School District,2003-04,All,16,16
101,North Haven School District,2003-04,All,200,65
103,Norwalk School District,2003-04,All,3143,1124
901,Norwich Free Academy,2003-04,All,212,64
104,Norwich School District,2003-04,All,616,211
106,Old Saybrook School District,2003-04,All,85,54
107,Orange School District,2003-04,All,56,7
108,Oxford School District,2003-04,All,9,2
109,Plainfield School District,2003-04,All,24,3
110,Plainville School District,2003-04,All,174,77
111,Plymouth School District,2003-04,All,26,26
112,Pomfret School District,2003-04,All,6,1
113,Portland School District,2003-04,All,6,4
114,Preston School District,2003-04,All,9,3
116,Putnam School District,2003-04,All,50,30
117,Redding School District,2003-04,All,21,2
201,Regional School District 01,2003-04,All,7,2
204,Regional School District 04,2003-04,All,17,1
205,Regional School District 05,2003-04,All,85,6
212,Regional School District 12,2003-04,All,6,2
215,Regional School District 15,2003-04,All,112,36
216,Regional School District 16,2003-04,All,48,3
218,Regional School District 18,2003-04,All,26,5
219,Regional School District 19,2003-04,All,22,22
118,Ridgefield School District,2003-04,All,102,35
119,Rocky Hill School District,2003-04,All,232,50
124,Seymour School District,2003-04,All,176,47
126,Shelton School District,2003-04,All,452,104
127,Sherman School District,2003-04,All,**,**
270,Side By Side Community School District,2003-04,All,46,37
128,Simsbury School District,2003-04,All,143,45
129,Somers School District,2003-04,All,18,1
132,South Windsor School District,2003-04,All,267,67
131,Southington School District,2003-04,All,194,48
133,Sprague School District,2003-04,All,8,3
134,Stafford School District,2003-04,All,28,16
135,Stamford School District,2003-04,All,5165,2153
137,Stonington School District,2003-04,All,10,10
138,Stratford School District,2003-04,All,414,125
139,Suffield School District,2003-04,All,38,2
269,The Bridge Academy District,2003-04,All,50,2
902,The Gilbert School,2003-04,All,34,6
140,Thomaston School District,2003-04,All,27,5
142,Tolland School District,2003-04,All,15,13
143,Torrington School District,2003-04,All,386,201
278,Trailblazers Academy District,2003-04,All,14,5
144,Trumbull School District,2003-04,All,189,41
146,Vernon School District,2003-04,All,189,87
148,Wallingford School District,2003-04,All,457,203
151,Waterbury School District,2003-04,All,2431,1926
152,Waterford School District,2003-04,All,162,16
153,Watertown School District,2003-04,All,139,45
155,West Hartford School District,2003-04,All,1658,556
156,West Haven School District,2003-04,All,904,349
154,Westbrook School District,2003-04,All,12,1
157,Weston School District,2003-04,All,21,10
158,Westport School District,2003-04,All,153,87
159,Wethersfield School District,2003-04,All,193,193
160,Willington School District,2003-04,All,17,3
161,Wilton School District,2003-04,All,99,17
162,Winchester School District,2003-04,All,96,46
163,Windham School District,2003-04,All,845,478
165,Windsor Locks School District,2003-04,All,94,43
164,Windsor School District,2003-04,All,138,65
166,Wolcott School District,2003-04,All,16,6
167,Woodbridge School District,2003-04,All,57,12
2,Ansonia School District,2002-03,All,243,77
244,Area Cooperative Educational Services,2002-03,All,114,25
3,Ashford School District,2002-03,All,7,2
4,Avon School District,2002-03,All,57,13
7,Berlin School District,2002-03,All,210,59
9,Bethel School District,2002-03,All,195,104
11,Bloomfield School District,2002-03,All,37,4
13,Bozrah School District,2002-03,All,**,**
14,Branford School District,2002-03,All,168,72
