StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Belarus,Greenwich,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Belarus,West Hartford,8
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Belarus,West Hartford,5
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Belarus,West Hartford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Bhutan,Bridgeport,0
